esntl_no,elsm_nm,schl_nm,fdtn_sctn_dscnt,tot_po,ten_und_po,hshld_co,examin_mt,examin_dt,ave_fnds,qltwtr_poll_entrps_co,addr_1,addr_2
45901,어린이집,연수색동원어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45905,어린이집,빛솔어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45910,어린이집,경인어린이집,사립,61216,1254,8056,11,1,28.18601937,0,인천광역시,연수구
45911,어린이집,남인천어린이집,사립,89480,2156,12434,11,1,28.18601937,0,인천광역시,연수구
45912,어린이집,다예린어린이집,사립,61216,1254,8056,11,1,28.18601937,0,인천광역시,연수구
46123,어린이집,삼성바이오드림파크어린,사립,176838,6887,29478,11,1,28.18601937,0,인천광역시,연수구
45942,어린이집,꿈동이어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45946,어린이집,정원어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45957,어린이집,열린미래어린이집,사립,134867,4261,16111,11,1,28.18601937,0,인천광역시,연수구
45963,어린이집,단비어린이집,사립,134867,4261,16111,11,1,28.18601937,1,인천광역시,연수구
4598,유치원,인천해송초등학교병설유,공립,176838,6887,29478,11,1,28.18601937,1,인천광역시,연수구
45994,어린이집,슬기샘어린이집,사립,134867,4261,16111,11,1,28.18601937,1,인천광역시,연수구
45998,어린이집,삼성열린어린이집,사립,134867,4261,16111,11,1,28.18601937,1,인천광역시,연수구
460,어린이집,리더스쿨어린이집,사립,106660,3726,15076,11,1,28.18601937,0,강원도,원주시
46004,어린이집,웰카운티어린이집,사립,176838,6887,29478,11,1,28.18601937,0,인천광역시,연수구
46010,어린이집,키즈빌어린이집,사립,176838,6887,29478,11,1,28.18601937,1,인천광역시,연수구
